epoch,accuracy,loss,val_accuracy,val_loss
0,0.5168750286102295,0.7146173715591431,0.5099999904632568,0.6927543878555298
1,0.518750011920929,0.6929805278778076,0.5149999856948853,0.6909229755401611
2,0.5112500190734863,0.6933389902114868,0.4925000071525574,0.6914995312690735
3,0.49687498807907104,0.6902599334716797,0.512499988079071,0.6905526518821716
4,0.5518749952316284,0.6882157921791077,0.5849999785423279,0.6786785125732422
5,0.5799999833106995,0.691819965839386,0.6175000071525574,0.680784285068512
6,0.6118749976158142,0.6642986536026001,0.6625000238418579,0.6589027643203735
7,0.637499988079071,0.6495650410652161,0.6575000286102295,0.6403300762176514
8,0.6637499928474426,0.6288109421730042,0.6399999856948853,0.6360589861869812
9,0.6631249785423279,0.6113938093185425,0.6725000143051147,0.6221360564231873
10,0.6881250143051147,0.596489429473877,0.6850000023841858,0.620745837688446
11,0.6956250071525574,0.5805755853652954,0.6474999785423279,0.6492879390716553
12,0.715624988079071,0.565481960773468,0.6875,0.6007406115531921
13,0.703125,0.571286141872406,0.6775000095367432,0.6127715110778809
14,0.7043750286102295,0.5624803304672241,0.675000011920929,0.6171910166740417
15,0.7200000286102295,0.5549547672271729,0.6600000262260437,0.6179742217063904
16,0.7293750047683716,0.5427740216255188,0.6150000095367432,0.713214099407196
17,0.7287499904632568,0.5469456911087036,0.6399999856948853,0.6262298822402954
18,0.7356250286102295,0.54025799036026,0.6700000166893005,0.5959720015525818
19,0.7325000166893005,0.5227131843566895,0.6725000143051147,0.6516351103782654
20,0.7481250166893005,0.5181728601455688,0.6725000143051147,0.6213874816894531
21,0.7425000071525574,0.5187649726867676,0.6850000023841858,0.6052106618881226
22,0.7549999952316284,0.5100210309028625,0.6675000190734863,0.6307287812232971
23,0.7612500190734863,0.5001081824302673,0.6775000095367432,0.6174470782279968
24,0.762499988079071,0.4914391338825226,0.6700000166893005,0.6061183214187622
25,0.7762500047683716,0.48134323954582214,0.6650000214576721,0.6031321287155151
26,0.7743750214576721,0.47638988494873047,0.6700000166893005,0.616182804107666
27,0.7806249856948853,0.46901142597198486,0.6650000214576721,0.6124009490013123
28,0.7793750166893005,0.46365469694137573,0.6949999928474426,0.5974815487861633
29,0.7793750166893005,0.4596412181854248,0.6800000071525574,0.6036010980606079
30,0.784375011920929,0.46237218379974365,0.6800000071525574,0.6058504581451416
